rank,id,composite,tier_a_pass,chemotype,site,cnn_pose_F_mean,cnn_pose_F_stdev,cnn_pkd_F,vina_F,selectivity_score,n_site_F_contacts,mmgbsa_de_kcal,boltz_kd_uM,boltz_prob_binder,boltz_ipTM,smiles
12,FM001452_analog_0141,0.464,False,fragment_FM001452_growing,F,0.8497,0.148,4.428,-6.08,,,-1.18,7.268,0.58,0.7,CC(C)c1cccc(COc2cccc(N)c2)c1
13,FM001452_analog_0145,0.4616,True,fragment_FM001452_growing,F,0.8683,0.1224,4.593,-6.34,,,-3.33,6.539,0.5256,0.7544,Nc1cccc(OCc2cccc(-c3ccccn3)c2)c1
14,FM001452_analog_0130,0.4327,True,fragment_FM001452_growing,F,0.8642,0.1337,4.688,-6.56,,,-0.42,1.06,0.3031,0.7368,Nc1cccc(OCc2cccc(S(N)(=O)=O)c2)c1
15,gen_0002,0.4325,True,novel_BRICS_recombinant,F,0.5629,0.1261,6.204,-7.85,0.474,9.0,,,,,COc1cc2nc(-c3cccc(N)c3)nc(CN3C(=O)c4ccccc4C3=O)c2cc1N
16,gen_0044,0.4283,True,novel_BRICS_recombinant,F,0.5856,0.1538,6.482,-7.17,0.474,9.0,,,,,COc1cc2nc(-c3cccc(N)c3)nc(Cc3c(C)noc3C)c2cc1N
17,FM001452_analog_0140,0.4267,False,fragment_FM001452_growing,F,0.8283,0.1466,4.268,-5.92,,,-0.94,13.761,0.5285,0.7774,CCCc1cccc(COc2cccc(N)c2)c1
18,Z795991852_analog_0059,0.4164,True,quinazolinone_triazole_chromene_amide,F,0.5991,0.1273,6.406,-7.05,0.522,6.0,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12
19,FM002150_analog_0068,0.4056,False,fragment_FM002150_growing,F,0.8495,0.1142,4.856,-5.79,,,-0.36,3.125,0.2563,0.8594,NS(=O)(=O)c1ccc(COCC(=O)O)cc1
20,gen_0013,0.4017,True,novel_BRICS_recombinant,F,0.5964,0.1243,6.122,-6.88,0.474,9.0,,,,,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc(C)sc3=O)c2cc1N
21,Z795991852_analog_0053,0.4013,True,quinazolinone_triazole_chromene_amide,F,0.5954,0.1717,6.091,-7.78,0.474,9.0,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12
22,FM001452_analog_0166,0.4005,False,fragment_FM001452_growing,F,0.8611,0.0769,3.87,-5.92,,,-1.21,3.471,0.3786,0.7644,Nc1cccc(OCc2ccc(CO)cc2)c1
23,FM001452_analog_0137,0.397,False,fragment_FM001452_growing,F,0.8473,0.1001,4.3,-5.75,,,-1.35,4.242,0.3925,0.7581,Nc1cccc(OCc2cccc(OCCO)c2)c1
