rank,id,smiles,chemotype,primary_site,n_sources,jack_boltz_kd_uM,jack_boltz_prob_binder,onepot_sim_pct,v3_local_rank,v3_scc_rank,v5_g_rank,v1_onepot_rank,orig_F_rank,jack_boltz_rank,site_A_rank,v3_local_vina_min,v3_local_pose,v3_local_pkd,v5_g_vina,v5_g_pose,v5_g_pkd
50,gen_0004,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc4ccccn4c3=O)c2cc1N,novel_BRICS,F,3,,,53,25,,,,2,,18,-7.98,0.7087,6.265,,,
51,Z795991852_analog_0017,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)C3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,3,,,,27,39,,,,,10,-8.33,0.7317,5.698,,,
52,Z795991852_analog_0032,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,,,,35,70,,,,,4,-8.34,0.6763,6.253,,,
53,Z795991852_analog_0049,Cn1c(=O)c2ccccc2n2c(C(=O)OCC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,A,3,,,,36,37,,,,,27,-7.9,0.7492,5.574,,,
54,Z795991852_analog_0001,Cn1c(=O)c2ccccc2n2c(NC(=O)C3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,3,,,60,37,61,,,12,,,-7.26,0.7738,5.669,,,
55,Z795991852_analog_0054,Cn1c(=O)c2ccccc2n2c(Oc3cccc(CNC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,,,,43,28,,,,,23,-8.08,0.6891,6.168,,,
56,gen_0059,COc1cc2nc(-c3cccc(N)c3)nc(Cc3ccc4ccccc4c3)c2cc1N,novel_BRICS,A,3,,,48,44,16,,,,,45,-8.19,0.6898,6.068,,,
57,Z795991852_analog_0020,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,,,,50,51,,,,,16,-8.14,0.6638,6.347,,,
58,Z795991852_analog_0051,Cn1c(=O)c2ccccc2n2c(NC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,3,,,,56,34,,,28,,,-7.75,0.7336,5.608,,,
59,Z795991852_analog_0037,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OCC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,G,3,,,,57,33,26,,,,,-8.24,0.653,6.314,-6.58,0.6396,6.124
