id,smiles,status,n_routes,top_route_score,raw_html_snippet,timestamp,error
FM001580_analog_0041,O=C(O)c1cc(C(F)(F)F)ccc1OC(F)(F)F,ok,50,71,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 71% similari",2026-05-09T14:01:57Z,
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,ok,50,100,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 100% similar",2026-05-09T14:02:15Z,
Z795991852_analog_0086,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,ok,50,42,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 42% similari",2026-05-09T14:02:32Z,
FM001452_analog_0106,CNC(=O)c1ccccc1COc1cccc(N)c1,ok,50,58,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 58% similari",2026-05-09T14:02:51Z,
Z795991852_analog_0085,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12,ok,50,40,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 40% similari",2026-05-09T14:03:09Z,
FM001452_analog_0017,Nc1cc(OCc2ccccc2)ccc1S(N)(=O)=O,ok,50,64,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 64% similari",2026-05-09T14:03:29Z,
Z795991852_analog_0042,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,ok,50,40,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 40% similari",2026-05-09T14:03:46Z,
opv1_000063,OB(O)c1cccc(Nc2cccc(C(F)(F)F)c2)c1,ok,50,73,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 73% similari",2026-05-09T14:04:04Z,
opv1_000093,O=C(Nc1cccc(Br)c1)Nc1cccc(B(O)O)c1,ok,50,100,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 100% similar",2026-05-09T14:04:22Z,
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,ok,50,100,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 100% similar",2026-05-09T14:04:41Z,
