cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
FM002150_analog_0068,ok,NS(=O)(=O)c1ccc(COCC(=O)O)cc1,0.9156,0.9142,0.862,0.862,0.862,0.9048,0.9048,0.47,2.948,5.53,0.257,81.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0068/boltz_results_FM002150_analog_0068/predictions/FM002150_analog_0068
FM002150_analog_0011,ok,NC(=O)c1ccccc1COCC(=O)O,0.8941,0.9134,0.7695,0.7695,0.7695,0.8692,0.8692,1.278,18.969,4.722,0.3084,81.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0011/boltz_results_FM002150_analog_0011/predictions/FM002150_analog_0011
FM002150_analog_0020,ok,CCCc1ccccc1COCC(=O)O,0.894,0.9069,0.7197,0.7197,0.7197,0.8592,0.8592,0.994,9.857,5.006,0.2086,81.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0020/boltz_results_FM002150_analog_0020/predictions/FM002150_analog_0020
FM002150_analog_0016,ok,N#Cc1ccccc1COCC(=O)O,0.9089,0.9285,0.8026,0.8026,0.8026,0.8876,0.8876,1.451,28.27,4.549,0.3725,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0016/boltz_results_FM002150_analog_0016/predictions/FM002150_analog_0016
FM002150_analog_0037,ok,O=C(O)COCc1cccc(C(F)(F)F)c1,0.9161,0.9202,0.7925,0.7925,0.7925,0.8913,0.8913,1.629,42.559,4.371,0.1702,79.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0037/boltz_results_FM002150_analog_0037/predictions/FM002150_analog_0037
FM002150_analog_0017,ok,O=C(O)COCc1ccccc1OCCO,0.8891,0.8952,0.7941,0.7941,0.7941,0.8701,0.8701,1.439,27.472,4.561,0.2877,81.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0017/boltz_results_FM002150_analog_0017/predictions/FM002150_analog_0017
FM002150_analog_0066,ok,O=C(O)COCc1ccc(C(F)(F)F)cc1,0.924,0.9238,0.8078,0.8078,0.8078,0.9008,0.9008,1.35,22.368,4.65,0.1935,79.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0066/boltz_results_FM002150_analog_0066/predictions/FM002150_analog_0066
FM002150_analog_0007,ok,CCOc1ccccc1COCC(=O)O,0.8945,0.9036,0.7705,0.7705,0.7705,0.8697,0.8697,1.404,25.33,4.596,0.2098,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0007/boltz_results_FM002150_analog_0007/predictions/FM002150_analog_0007
FM002150_analog_0060,ok,CN1CCC(c2cccc(COCC(=O)O)c2)CC1,0.8958,0.8888,0.6866,0.6866,0.6866,0.854,0.854,1.245,17.564,4.755,0.2823,79.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0060/boltz_results_FM002150_analog_0060/predictions/FM002150_analog_0060
FM002150_analog_0087,ok,CN1CCC(c2ccc(COCC(=O)O)cc2)CC1,0.8957,0.9054,0.8428,0.8428,0.8428,0.8851,0.8851,1.058,11.436,4.942,0.3083,79.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0087/boltz_results_FM002150_analog_0087/predictions/FM002150_analog_0087
FM002150_analog_0003,ok,O=C(O)COCc1ccccc1F,0.9209,0.9241,0.7695,0.7695,0.7695,0.8906,0.8906,1.504,31.882,4.496,0.1857,80.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0003/boltz_results_FM002150_analog_0003/predictions/FM002150_analog_0003
FM002150_analog_0004,ok,O=C(O)COCc1ccccc1Cl,0.9023,0.9053,0.5884,0.5884,0.5884,0.8395,0.8395,1.653,45.02,4.347,0.1589,82.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0004/boltz_results_FM002150_analog_0004/predictions/FM002150_analog_0004
FM002150_analog_0005,ok,O=C(O)COCc1ccccc1C(=O)O,0.9093,0.9211,0.8203,0.8203,0.8203,0.8915,0.8915,1.447,27.964,4.553,0.3206,81.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0005/boltz_results_FM002150_analog_0005/predictions/FM002150_analog_0005
FM002150_analog_0013,ok,Cc1ccccc1COCC(=O)O,0.9075,0.9087,0.6969,0.6969,0.6969,0.8654,0.8654,1.658,45.517,4.342,0.2143,79.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0013/boltz_results_FM002150_analog_0013/predictions/FM002150_analog_0013
FM002150_analog_0014,ok,Nc1ccccc1COCC(=O)O,0.9082,0.8918,0.6747,0.6747,0.6747,0.8615,0.8615,1.422,26.397,4.578,0.4051,81.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0014/boltz_results_FM002150_analog_0014/predictions/FM002150_analog_0014
FM002150_analog_0022,ok,NCc1ccccc1COCC(=O)O,0.9123,0.9226,0.8482,0.8482,0.8482,0.8995,0.8995,1.512,32.527,4.488,0.3521,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0022/boltz_results_FM002150_analog_0022/predictions/FM002150_analog_0022
FM002150_analog_0067,ok,CS(=O)(=O)c1ccc(COCC(=O)O)cc1,0.8986,0.9008,0.8352,0.8352,0.8352,0.8859,0.8859,1.137,13.721,4.863,0.2374,79.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0067/boltz_results_FM002150_analog_0067/predictions/FM002150_analog_0067
FM002150_analog_0053,ok,O=C(O)COCc1cccc(-c2ccncc2)c1,0.8804,0.9125,0.8167,0.8167,0.8167,0.8677,0.8677,0.986,9.686,5.014,0.3501,79.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0053/boltz_results_FM002150_analog_0053/predictions/FM002150_analog_0053
FM002150_analog_0054,ok,O=C(O)COCc1cccc(-c2ccccn2)c1,0.8863,0.9174,0.7747,0.7747,0.7747,0.864,0.864,1.088,12.253,4.912,0.3386,79.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0054/boltz_results_FM002150_analog_0054/predictions/FM002150_analog_0054
FM002150_analog_0041,ok,CN(C)Cc1cccc(COCC(=O)O)c1,0.9249,0.9053,0.8348,0.8348,0.8348,0.9069,0.9069,1.831,67.771,4.169,0.2094,79.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0041/boltz_results_FM002150_analog_0041/predictions/FM002150_analog_0041
FM002150_analog_0050,ok,CC(C)c1cccc(COCC(=O)O)c1,0.9158,0.9089,0.8239,0.8239,0.8239,0.8974,0.8974,0.844,6.98,5.156,0.1996,78.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0050/boltz_results_FM002150_analog_0050/predictions/FM002150_analog_0050
FM002150_analog_0052,ok,CN(C)c1cccc(COCC(=O)O)c1,0.8928,0.9123,0.7383,0.7383,0.7383,0.8619,0.8619,1.359,22.866,4.641,0.2671,79.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0052/boltz_results_FM002150_analog_0052/predictions/FM002150_analog_0052
FM002150_analog_0018,ok,O=C(O)COCc1ccccc1CO,0.9118,0.9108,0.8311,0.8311,0.8311,0.8956,0.8956,1.329,21.335,4.671,0.3807,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0018/boltz_results_FM002150_analog_0018/predictions/FM002150_analog_0018
