cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
Z795991852_analog_0020,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC(=O)C4Cc5ccccc5O4)c3)nnc12,0.826,0.8895,0.6995,0.6995,0.6995,0.8007,0.8007,0.714,5.177,5.286,0.5382,80.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0020/boltz_results_Z795991852_analog_0020/predictions/Z795991852_analog_0020
Z795991852_analog_0027,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8664,0.9031,0.8072,0.8072,0.8072,0.8546,0.8546,0.204,1.601,5.796,0.5941,88.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0027/boltz_results_Z795991852_analog_0027/predictions/Z795991852_analog_0027
Z795991852_analog_0035,ok,Cn1c(=O)c2ccccc2n2c(CNC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8381,0.9052,0.7596,0.7596,0.7596,0.8224,0.8224,-0.301,0.5,6.301,0.6,88.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0035/boltz_results_Z795991852_analog_0035/predictions/Z795991852_analog_0035
Z795991852_analog_0036,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,0.8547,0.8859,0.7089,0.7089,0.7089,0.8255,0.8255,0.301,1.998,5.699,0.5883,83.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0036/boltz_results_Z795991852_analog_0036/predictions/Z795991852_analog_0036
Z795991852_analog_0012,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8398,0.9004,0.7966,0.7966,0.7966,0.8311,0.8311,0.496,3.13,5.504,0.535,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0012/boltz_results_Z795991852_analog_0012/predictions/Z795991852_analog_0012
Z795991852_analog_0071,ok,Cn1c(=O)c2ccccc2n2c(CNc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8215,0.8813,0.6999,0.6999,0.6999,0.7972,0.7972,0.75,5.627,5.25,0.4663,80.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0071/boltz_results_Z795991852_analog_0071/predictions/Z795991852_analog_0071
Z795991852_analog_0082,ok,Cn1c(=O)c2ccccc2n2c(COc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8588,0.8915,0.7515,0.7515,0.7515,0.8374,0.8374,0.355,2.265,5.645,0.5499,80.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0082/boltz_results_Z795991852_analog_0082/predictions/Z795991852_analog_0082
Z795991852_analog_0009,ok,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)C3Cc4ccccc4O3)nnc12,0.863,0.8784,0.7067,0.7353,0.7067,0.8317,0.8317,0.332,2.148,5.668,0.5814,85.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0009/boltz_results_Z795991852_analog_0009/predictions/Z795991852_analog_0009
Z795991852_analog_0024,ok,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.853,0.9104,0.8475,0.8475,0.8475,0.8519,0.8519,-0.274,0.532,6.274,0.6473,84.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0024/boltz_results_Z795991852_analog_0024/predictions/Z795991852_analog_0024
Z795991852_analog_0037,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OCC4Cc5ccccc5O4)c3)nnc12,0.8346,0.8919,0.7199,0.7199,0.7199,0.8116,0.8116,0.487,3.071,5.513,0.6501,83.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0037/boltz_results_Z795991852_analog_0037/predictions/Z795991852_analog_0037
Z795991852_analog_0010,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8297,0.9174,0.8374,0.8374,0.8374,0.8312,0.8312,0.075,1.19,5.925,0.6522,82.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0010/boltz_results_Z795991852_analog_0010/predictions/Z795991852_analog_0010
Z795991852_analog_0018,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8469,0.8764,0.7226,0.7426,0.7226,0.8221,0.8221,0.214,1.638,5.786,0.6643,83.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0018/boltz_results_Z795991852_analog_0018/predictions/Z795991852_analog_0018
Z795991852_analog_0060,ok,Cn1c(=O)c2ccccc2n2c(COc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8328,0.9078,0.8197,0.8197,0.8197,0.8302,0.8302,0.569,3.703,5.431,0.5527,81.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0060/boltz_results_Z795991852_analog_0060/predictions/Z795991852_analog_0060
Z795991852_analog_0083,ok,Cn1c(=O)c2ccccc2n2c(COC3Cc4ccccc4O3)nnc12,0.8638,0.8997,0.7508,0.7508,0.7508,0.8412,0.8412,1.019,10.443,4.981,0.4122,81.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0083/boltz_results_Z795991852_analog_0083/predictions/Z795991852_analog_0083
Z795991852_analog_0043,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,0.8438,0.9011,0.7429,0.7727,0.7429,0.8236,0.8236,0.308,2.03,5.692,0.6285,82.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0043/boltz_results_Z795991852_analog_0043/predictions/Z795991852_analog_0043
Z795991852_analog_0044,ok,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8275,0.9124,0.8186,0.8186,0.8186,0.8257,0.8257,-0.033,0.927,6.033,0.6151,80.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0044/boltz_results_Z795991852_analog_0044/predictions/Z795991852_analog_0044
Z795991852_analog_0001,ok,Cn1c(=O)c2ccccc2n2c(NC(=O)C3Cc4ccccc4O3)nnc12,0.8483,0.9015,0.8399,0.8399,0.8399,0.8466,0.8466,0.549,3.54,5.451,0.5148,80.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0001/boltz_results_Z795991852_analog_0001/predictions/Z795991852_analog_0001
Z795991852_analog_0011,ok,Cn1c(=O)c2ccccc2n2c(CNC(=O)C3Cc4ccccc4O3)nnc12,0.8655,0.9105,0.7958,0.7958,0.7958,0.8515,0.8515,0.797,6.26,5.203,0.355,81.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0011/boltz_results_Z795991852_analog_0011/predictions/Z795991852_analog_0011
Z795991852_analog_0005,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8338,0.8981,0.7572,0.7572,0.7572,0.8184,0.8184,0.278,1.898,5.722,0.5632,88.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0005/boltz_results_Z795991852_analog_0005/predictions/Z795991852_analog_0005
Z795991852_analog_0003,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8441,0.8756,0.7443,0.7452,0.7443,0.8242,0.8242,0.057,1.141,5.943,0.5543,84.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0003/boltz_results_Z795991852_analog_0003/predictions/Z795991852_analog_0003
Z795991852_analog_0006,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8285,0.9054,0.7851,0.7851,0.7851,0.8198,0.8198,0.369,2.339,5.631,0.6263,82.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0006/boltz_results_Z795991852_analog_0006/predictions/Z795991852_analog_0006
Z795991852_analog_0019,ok,Cn1c(=O)c2ccccc2n2c(COC(=O)C3Cc4ccccc4O3)nnc12,0.8522,0.915,0.7885,0.7885,0.7885,0.8395,0.8395,1.042,11.019,4.958,0.4264,82.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0019/boltz_results_Z795991852_analog_0019/predictions/Z795991852_analog_0019
Z795991852_analog_0040,ok,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8453,0.8967,0.7445,0.7445,0.7445,0.8251,0.8251,0.178,1.508,5.822,0.5744,83.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0040/boltz_results_Z795991852_analog_0040/predictions/Z795991852_analog_0040
FM001580_analog_0033,ok,O=C(O)c1c(OC(F)(F)F)cccc1C1CCNCC1,0.9175,0.9143,0.7514,0.7722,0.7514,0.8842,0.8842,2.005,101.144,3.995,0.3335,81.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0033/boltz_results_FM001580_analog_0033/predictions/FM001580_analog_0033
FM001580_analog_0118,ok,O=C(O)c1cccc(C2CCNCC2)c1OC(F)(F)F,0.9216,0.9227,0.8131,0.8131,0.8131,0.8999,0.8999,1.569,37.093,4.431,0.301,82.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0118/boltz_results_FM001580_analog_0118/predictions/FM001580_analog_0118
FM001580_analog_0032,ok,O=C(O)c1c(OC(F)(F)F)cccc1C1CCCCC1,0.874,0.9066,0.699,0.699,0.699,0.839,0.839,1.437,27.366,4.563,0.2677,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0032/boltz_results_FM001580_analog_0032/predictions/FM001580_analog_0032
FM001580_analog_0034,ok,O=C(O)c1c(OC(F)(F)F)cccc1C1CCOCC1,0.8835,0.9125,0.7174,0.7752,0.7174,0.8503,0.8503,1.726,53.221,4.274,0.291,87.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0034/boltz_results_FM001580_analog_0034/predictions/FM001580_analog_0034
FM001580_analog_0016,ok,CN(C)Cc1cccc(OC(F)(F)F)c1C(=O)O,0.9269,0.9163,0.7675,0.7675,0.7675,0.895,0.895,2.004,100.88,3.996,0.2908,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0016/boltz_results_FM001580_analog_0016/predictions/FM001580_analog_0016
FM001580_analog_0101,ok,CN(C)Cc1cccc(C(=O)O)c1OC(F)(F)F,0.9372,0.9341,0.8443,0.8443,0.8443,0.9186,0.9186,1.799,62.93,4.201,0.2698,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0101/boltz_results_FM001580_analog_0101/predictions/FM001580_analog_0101
FM001580_analog_0119,ok,O=C(O)c1cccc(C2CCOCC2)c1OC(F)(F)F,0.8753,0.9162,0.7408,0.7408,0.7408,0.8484,0.8484,1.281,19.103,4.719,0.3617,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0119/boltz_results_FM001580_analog_0119/predictions/FM001580_analog_0119
FM001580_analog_0024,ok,CCCc1cccc(OC(F)(F)F)c1C(=O)O,0.9101,0.9077,0.7504,0.7504,0.7504,0.8781,0.8781,2.081,120.437,3.919,0.2343,84.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0024/boltz_results_FM001580_analog_0024/predictions/FM001580_analog_0024
FM001580_analog_0109,ok,CCCc1cccc(C(=O)O)c1OC(F)(F)F,0.9085,0.9254,0.814,0.814,0.814,0.8896,0.8896,2.006,101.469,3.994,0.232,86.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0109/boltz_results_FM001580_analog_0109/predictions/FM001580_analog_0109
FM001580_analog_0014,ok,NS(=O)(=O)c1cccc(OC(F)(F)F)c1C(=O)O,0.8938,0.9283,0.7931,0.7931,0.7931,0.8736,0.8736,1.725,53.081,4.275,0.2528,86.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0014/boltz_results_FM001580_analog_0014/predictions/FM001580_analog_0014
FM001580_analog_0099,ok,NS(=O)(=O)c1cccc(C(=O)O)c1OC(F)(F)F,0.8927,0.8923,0.6657,0.6956,0.6657,0.8473,0.8473,1.55,35.519,4.45,0.3484,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0099/boltz_results_FM001580_analog_0099/predictions/FM001580_analog_0099
FM001580_analog_0117,ok,O=C(O)c1cccc(C2CCCCC2)c1OC(F)(F)F,0.8753,0.9217,0.7955,0.7955,0.7955,0.8593,0.8593,1.337,21.739,4.663,0.3722,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0117/boltz_results_FM001580_analog_0117/predictions/FM001580_analog_0117
FM001580_analog_0022,ok,O=C(O)c1c(CO)cccc1OC(F)(F)F,0.9152,0.9098,0.7226,0.7226,0.7226,0.8767,0.8767,2.126,133.777,3.874,0.3136,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0022/boltz_results_FM001580_analog_0022/predictions/FM001580_analog_0022
FM001580_analog_0107,ok,O=C(O)c1cccc(CO)c1OC(F)(F)F,0.8857,0.9071,0.6156,0.6156,0.6156,0.8316,0.8316,1.831,67.734,4.169,0.3317,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0107/boltz_results_FM001580_analog_0107/predictions/FM001580_analog_0107
FM001580_analog_0011,ok,CCOc1cccc(OC(F)(F)F)c1C(=O)O,0.9077,0.9179,0.7306,0.7306,0.7306,0.8722,0.8722,2.116,130.538,3.884,0.2947,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0011/boltz_results_FM001580_analog_0011/predictions/FM001580_analog_0011
FM001580_analog_0026,ok,NCc1cccc(OC(F)(F)F)c1C(=O)O,0.9286,0.9279,0.75,0.75,0.75,0.8929,0.8929,2.232,170.457,3.768,0.3751,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0026/boltz_results_FM001580_analog_0026/predictions/FM001580_analog_0026
FM001580_analog_0027,ok,CN(C)c1cccc(OC(F)(F)F)c1C(=O)O,0.8887,0.915,0.7842,0.7842,0.7842,0.8678,0.8678,2.085,121.674,3.915,0.3092,83.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0027/boltz_results_FM001580_analog_0027/predictions/FM001580_analog_0027
FM001580_analog_0110,ok,CC(C)c1cccc(C(=O)O)c1OC(F)(F)F,0.9218,0.9226,0.7803,0.7803,0.7803,0.8935,0.8935,1.982,95.972,4.018,0.2337,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0110/boltz_results_FM001580_analog_0110/predictions/FM001580_analog_0110
FM001580_analog_0111,ok,NCc1cccc(C(=O)O)c1OC(F)(F)F,0.9014,0.8938,0.737,0.7421,0.737,0.8685,0.8685,2.362,230.384,3.638,0.3533,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0111/boltz_results_FM001580_analog_0111/predictions/FM001580_analog_0111
FM001580_analog_0112,ok,CN(C)c1cccc(C(=O)O)c1OC(F)(F)F,0.8893,0.8975,0.6794,0.6794,0.6794,0.8474,0.8474,2.054,113.121,3.946,0.2841,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0112/boltz_results_FM001580_analog_0112/predictions/FM001580_analog_0112
FM001580_analog_0031,ok,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccsc1,0.8888,0.9261,0.8189,0.8189,0.8189,0.8748,0.8748,1.426,26.687,4.574,0.3184,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0031/boltz_results_FM001580_analog_0031/predictions/FM001580_analog_0031
FM001580_analog_0021,ok,O=C(O)c1c(OCCO)cccc1OC(F)(F)F,0.8905,0.9143,0.7511,0.7511,0.7511,0.8627,0.8627,2.046,111.047,3.954,0.3362,84.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0021/boltz_results_FM001580_analog_0021/predictions/FM001580_analog_0021
FM001580_analog_0004,ok,CS(=O)(=O)NC(=O)c1ccccc1OC(F)(F)F,0.883,0.917,0.7768,0.7768,0.7768,0.8618,0.8618,1.469,29.462,4.531,0.2294,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0004/boltz_results_FM001580_analog_0004/predictions/FM001580_analog_0004
FM001580_analog_0023,ok,CCc1cccc(OC(F)(F)F)c1C(=O)O,0.8991,0.9241,0.687,0.687,0.687,0.8567,0.8567,2.085,121.531,3.915,0.2491,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0023/boltz_results_FM001580_analog_0023/predictions/FM001580_analog_0023
FM001580_analog_0108,ok,CCc1cccc(C(=O)O)c1OC(F)(F)F,0.8888,0.9133,0.7287,0.7287,0.7287,0.8568,0.8568,2.091,123.176,3.909,0.2249,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0108/boltz_results_FM001580_analog_0108/predictions/FM001580_analog_0108
FM001580_analog_0096,ok,CCOc1cccc(C(=O)O)c1OC(F)(F)F,0.886,0.9232,0.798,0.798,0.798,0.8684,0.8684,2.003,100.607,3.997,0.2299,82.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0096/boltz_results_FM001580_analog_0096/predictions/FM001580_analog_0096
FM001580_analog_0003,ok,NS(=O)(=O)c1ccccc1OC(F)(F)F,0.8954,0.9162,0.7077,0.7077,0.7077,0.8579,0.8579,1.237,17.244,4.763,0.1965,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0003/boltz_results_FM001580_analog_0003/predictions/FM001580_analog_0003
FM001580_analog_0012,ok,O=C(O)c1c(OC(F)(F)F)cccc1C(F)(F)F,0.8838,0.9166,0.6828,0.6828,0.6828,0.8436,0.8436,2.084,121.391,3.916,0.2724,82.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0012/boltz_results_FM001580_analog_0012/predictions/FM001580_analog_0012
FM001580_analog_0097,ok,O=C(O)c1cccc(C(F)(F)F)c1OC(F)(F)F,0.8918,0.9043,0.7003,0.7003,0.7003,0.8535,0.8535,2.013,103.125,3.987,0.2784,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0097/boltz_results_FM001580_analog_0097/predictions/FM001580_analog_0097
FM001580_analog_0025,ok,CC(C)c1cccc(OC(F)(F)F)c1C(=O)O,0.9082,0.9181,0.7758,0.7758,0.7758,0.8817,0.8817,1.922,83.635,4.078,0.2511,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0025/boltz_results_FM001580_analog_0025/predictions/FM001580_analog_0025
FM001580_analog_0005,ok,O=C(O)c1ccccc1C(F)(F)F,0.9149,0.9311,0.7531,0.7531,0.7531,0.8825,0.8825,1.702,50.376,4.298,0.1773,81.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0005/boltz_results_FM001580_analog_0005/predictions/FM001580_analog_0005
FM001580_analog_0106,ok,O=C(O)c1cccc(OCCO)c1OC(F)(F)F,0.8778,0.8925,0.6391,0.6391,0.6391,0.8301,0.8301,2.017,104.084,3.983,0.3364,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0106/boltz_results_FM001580_analog_0106/predictions/FM001580_analog_0106
FM001580_analog_0007,ok,O=C(O)c1c(F)cccc1OC(F)(F)F,0.9013,0.9207,0.6204,0.6204,0.6204,0.8452,0.8452,1.716,51.95,4.284,0.1938,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0007/boltz_results_FM001580_analog_0007/predictions/FM001580_analog_0007
FM001580_analog_0092,ok,O=C(O)c1cccc(F)c1OC(F)(F)F,0.9001,0.9146,0.7266,0.7266,0.7266,0.8654,0.8654,1.862,72.842,4.138,0.1885,80.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0092/boltz_results_FM001580_analog_0092/predictions/FM001580_analog_0092
FM001580_analog_0018,ok,Nc1cccc(OC(F)(F)F)c1C(=O)O,0.9006,0.9157,0.6406,0.6406,0.6406,0.8486,0.8486,1.888,77.202,4.112,0.3276,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0018/boltz_results_FM001580_analog_0018/predictions/FM001580_analog_0018
FM001580_analog_0093,ok,O=C(O)c1cccc(Cl)c1OC(F)(F)F,0.925,0.9085,0.7576,0.7576,0.7576,0.8915,0.8915,1.869,73.947,4.131,0.1789,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0093/boltz_results_FM001580_analog_0093/predictions/FM001580_analog_0093
FM001580_analog_0100,ok,NC(=O)c1cccc(C(=O)O)c1OC(F)(F)F,0.8828,0.9173,0.7156,0.7156,0.7156,0.8493,0.8493,1.999,99.722,4.001,0.3522,82.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0100/boltz_results_FM001580_analog_0100/predictions/FM001580_analog_0100
FM001580_analog_0103,ok,Nc1cccc(C(=O)O)c1OC(F)(F)F,0.8894,0.8687,0.6378,0.6378,0.6378,0.8391,0.8391,1.775,59.589,4.225,0.3635,82.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0103/boltz_results_FM001580_analog_0103/predictions/FM001580_analog_0103
FM001580_analog_0035,ok,CN1CCC(c2cccc(OC(F)(F)F)c2C(=O)O)CC1,0.9068,0.9024,0.8068,0.8068,0.8068,0.8868,0.8868,1.817,65.58,4.183,0.1852,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0035/boltz_results_FM001580_analog_0035/predictions/FM001580_analog_0035
FM001580_analog_0019,ok,CNC(=O)c1cccc(OC(F)(F)F)c1C(=O)O,0.9052,0.8873,0.6732,0.6732,0.6732,0.8588,0.8588,2.195,156.751,3.805,0.2609,81.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0019/boltz_results_FM001580_analog_0019/predictions/FM001580_analog_0019
FM001580_analog_0029,ok,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccccn1,0.8721,0.9038,0.7698,0.7698,0.7698,0.8516,0.8516,1.969,93.118,4.031,0.4179,82.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0029/boltz_results_FM001580_analog_0029/predictions/FM001580_analog_0029
FM001580_analog_0030,ok,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccoc1,0.8806,0.9204,0.7818,0.7908,0.7818,0.8608,0.8608,1.678,47.687,4.322,0.3236,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0030/boltz_results_FM001580_analog_0030/predictions/FM001580_analog_0030
FM001580_analog_0115,ok,O=C(O)c1cccc(-c2ccoc2)c1OC(F)(F)F,0.89,0.9176,0.7778,0.7778,0.7778,0.8675,0.8675,1.495,31.24,4.505,0.387,86.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0115/boltz_results_FM001580_analog_0115/predictions/FM001580_analog_0115
FM001580_analog_0116,ok,O=C(O)c1cccc(-c2ccsc2)c1OC(F)(F)F,0.8818,0.9171,0.7575,0.7575,0.7575,0.8569,0.8569,1.393,24.706,4.607,0.321,81.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0116/boltz_results_FM001580_analog_0116/predictions/FM001580_analog_0116
FM001580_analog_0015,ok,NC(=O)c1cccc(OC(F)(F)F)c1C(=O)O,0.896,0.9053,0.6167,0.627,0.6167,0.8401,0.8401,1.801,63.22,4.199,0.3042,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0015/boltz_results_FM001580_analog_0015/predictions/FM001580_analog_0015
FM001580_analog_0061,ok,O=C(O)c1cc(C2CCNCC2)ccc1OC(F)(F)F,0.9266,0.9164,0.7917,0.8393,0.7917,0.8996,0.8996,1.76,57.512,4.24,0.3403,83.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0061/boltz_results_FM001580_analog_0061/predictions/FM001580_analog_0061
FM001580_analog_0062,ok,O=C(O)c1cc(C2CCOCC2)ccc1OC(F)(F)F,0.8746,0.9072,0.6862,0.6862,0.6862,0.837,0.837,1.689,48.856,4.311,0.2777,81.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0062/boltz_results_FM001580_analog_0062/predictions/FM001580_analog_0062
FM001580_analog_0010,ok,COc1cccc(OC(F)(F)F)c1C(=O)O,0.9232,0.9106,0.7177,0.7177,0.7177,0.8821,0.8821,1.947,88.432,4.053,0.252,81.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0010/boltz_results_FM001580_analog_0010/predictions/FM001580_analog_0010
FM001580_analog_0095,ok,COc1cccc(C(=O)O)c1OC(F)(F)F,0.8974,0.8963,0.6075,0.6075,0.6075,0.8395,0.8395,2.222,166.782,3.778,0.2559,81.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0095/boltz_results_FM001580_analog_0095/predictions/FM001580_analog_0095
FM001580_analog_0104,ok,CNC(=O)c1cccc(C(=O)O)c1OC(F)(F)F,0.8843,0.9216,0.754,0.754,0.754,0.8582,0.8582,2.142,138.747,3.858,0.276,86.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0104/boltz_results_FM001580_analog_0104/predictions/FM001580_analog_0104
FM001580_analog_0002,ok,NC(=O)c1ccccc1OC(F)(F)F,0.8927,0.9142,0.7323,0.7323,0.7323,0.8606,0.8606,1.596,39.424,4.404,0.2711,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0002/boltz_results_FM001580_analog_0002/predictions/FM001580_analog_0002
FM001580_analog_0001,ok,CN(C)C(=O)c1ccccc1OC(F)(F)F,0.9004,0.9231,0.6963,0.6963,0.6963,0.8596,0.8596,2.248,176.93,3.752,0.1349,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM001580_analog_0001/boltz_results_FM001580_analog_0001/predictions/FM001580_analog_0001
