id,smiles,tier,boltz_kd_jack_uM,boltz_pb_jack,boltz_kd_scc_uM,boltz_pb_scc,v1_gnina_kd_uM,muni_price_usd,muni_chem_risk,muni_supplier_risk,MW_Da,LogP,HBD,HBA,HA,rings,fused_rings,esol_logS,naar_max_tanimoto,forbidden_motifs,C1_onepot_100,C2_non_covalent,C3a_MW_le_600,C3b_LogP_le_6,C3c_HBD_le_6,C3d_HBA_le_12,C4a_HA_10_30,C4b_HBD_HBA_le_11,C4c_LogP_lt_5,C4d_lt_5_rings,C4e_le_2_fused,C5_no_PAINS,C5b_no_forbidden,C6_naar_tanimoto_lt_085,C7_soluble_logS_gt_neg5
FM002150_analog_0013,Cc1ccccc1COCC(=O)O,T3_BRONZE,45.882,0.213,45.517,0.2143,,295,low,medium,180.2,1.6,1,2,13,1,0,-2.44,0.581,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0085,O=C(O)c1ccc(-c2ccccn2)cc1OC(F)(F)F,T3_BRONZE,45.764,0.32,55.624,0.3159,,125,low,low,283.2,3.35,1,3,20,2,0,-4.99,0.683,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0005,O=C(O)c1ccccc1C(F)(F)F,T3_BRONZE,46.22,0.178,50.376,0.1773,,125,low,low,190.1,2.4,1,1,13,1,0,-3.21,0.516,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0006,CCOc1ccccc1C(=O)O,T3_BRONZE,49.975,0.205,46.547,0.2049,,125,low,low,166.2,1.78,1,2,12,1,0,-2.54,0.548,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0057,O=C(O)c1cc(-c2ccccn2)ccc1OC(F)(F)F,T3_BRONZE,46.857,0.443,51.021,0.4325,,125,low,low,283.2,3.35,1,3,20,2,0,-4.99,0.674,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0030,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccoc1,T3_BRONZE,49.181,0.333,47.687,0.3236,,250,medium,low,272.2,3.54,1,3,19,2,0,-5.04,0.449,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
FM001580_analog_0064,O=C(O)c1ccc(F)cc1OC(F)(F)F,T3_BRONZE,49.98,0.178,48.446,0.1778,,125,low,low,224.1,2.42,1,2,15,1,0,-3.36,0.656,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,T3_BRONZE,,,,,65.46,125,low,low,237.2,3.95,1,1,17,2,0,-5.22,0.484,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1,T3_BRONZE,,,,,87.3,125,low,low,237.2,4.45,1,1,17,2,0,-5.46,0.321,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1,T3_BRONZE,,,,,87.9,1000,low,high,240.2,4.51,0,0,17,2,0,-5.59,0.316,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1,T3_BRONZE,,,,,88.72,250,medium,low,252.2,3.71,1,2,18,2,0,-5.02,0.391,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1,T3_BRONZE,,,,,126.77,125,low,low,184.2,2.52,2,2,14,2,0,-3.98,0.682,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1,T3_BRONZE,,,,,127.64,125,low,low,222.2,4.37,0,0,16,2,0,-5.39,0.368,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
Z795991852_analog_0075,Cn1c(=O)c2ccccc2n2c(CNCC3Cc4ccccc4O3)nnc12,T4_RELAXED,5.676,0.406,5.756,0.4095,,590,medium,medium,361.4,1.67,1,7,27,5,3,-5.83,0.532,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✗
FM001580_analog_0047,Nc1ccc(OC(F)(F)F)c(C(=O)O)c1,T4_RELAXED,53.278,0.355,50.092,0.3544,,125,low,low,221.1,1.87,2,3,15,1,0,-2.99,0.632,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0007,O=C(O)c1c(F)cccc1OC(F)(F)F,T4_RELAXED,51.987,0.194,51.95,0.1938,,125,low,low,224.1,2.42,1,2,15,1,0,-3.36,0.559,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0028,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccncc1,T4_RELAXED,52.136,0.469,52.923,0.4651,,250,medium,low,283.2,3.35,1,3,20,2,0,-4.99,0.533,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0068,CCOc1ccc(C(=O)O)c(OC(F)(F)F)c1,T4_RELAXED,52.189,0.264,52.473,0.2654,,2000,medium,medium,250.2,2.68,1,3,17,1,0,-3.56,0.605,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0037,O=C(O)c1cc(Cl)ccc1OC(F)(F)F,T4_RELAXED,52.847,0.191,62.518,0.198,,125,low,low,240.6,2.94,1,2,15,1,0,-3.79,0.588,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0039,COc1ccc(OC(F)(F)F)c(C(=O)O)c1,T4_RELAXED,58.423,0.336,60.014,0.3358,,540,low,medium,236.1,2.29,1,3,16,1,0,-3.29,0.65,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0036,O=C(O)c1cc(F)ccc1OC(F)(F)F,T4_RELAXED,60.082,0.183,64.19,0.1805,,125,low,low,224.1,2.42,1,2,15,1,0,-3.36,0.656,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0067,COc1ccc(C(=O)O)c(OC(F)(F)F)c1,T4_RELAXED,65.069,0.306,65.295,0.306,,125,low,low,236.1,2.29,1,3,16,1,0,-3.29,0.784,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0008,O=C(O)c1c(Cl)cccc1OC(F)(F)F,T4_RELAXED,79.856,0.213,67.324,0.2117,,125,low,low,240.6,2.94,1,2,15,1,0,-3.79,0.543,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0074,Cc1ccc(C(=O)O)c(OC(F)(F)F)c1,T4_RELAXED,71.058,0.303,73.311,0.2861,,540,low,low,220.1,2.59,1,2,15,1,0,-3.45,0.794,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0093,O=C(O)c1cccc(Cl)c1OC(F)(F)F,T4_RELAXED,71.173,0.175,73.947,0.1789,,540,low,medium,240.6,2.94,1,2,15,1,0,-3.79,0.543,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0092,O=C(O)c1cccc(F)c1OC(F)(F)F,T4_RELAXED,73.141,0.189,72.842,0.1885,,1000,low,medium,224.1,2.42,1,2,15,1,0,-3.36,0.559,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0018,Nc1cccc(OC(F)(F)F)c1C(=O)O,T4_RELAXED,73.469,0.319,77.202,0.3276,,295,low,low,221.1,1.87,2,3,15,1,0,-2.99,0.543,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0046,Cc1ccc(OC(F)(F)F)c(C(=O)O)c1,T4_RELAXED,75.734,0.272,75.065,0.2707,,1000,low,medium,220.1,2.59,1,2,15,1,0,-3.45,0.649,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0078,O=C(O)c1ccc(OCCO)cc1OC(F)(F)F,T4_RELAXED,79.788,0.285,77.378,0.2783,,1000,low,medium,266.2,1.65,2,4,18,1,0,-2.94,0.591,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0096,CCOc1cccc(C(=O)O)c1OC(F)(F)F,T4_RELAXED,82.088,0.246,100.607,0.2299,,3000,high,high,250.2,2.68,1,3,17,1,0,-3.56,0.553,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0010,COc1cccc(OC(F)(F)F)c1C(=O)O,T4_RELAXED,97.505,0.25,88.432,0.252,,540,low,low,236.1,2.29,1,3,16,1,0,-3.29,0.559,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM002150_analog_0001,O=C(O)COCc1ccncc1,T4_RELAXED,89.597,0.271,90.858,0.274,,295,low,medium,167.2,0.68,1,3,12,1,0,-1.78,0.679,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0050,O=C(O)c1cc(OCCO)ccc1OC(F)(F)F,T4_RELAXED,92.359,0.284,90.812,0.287,,125,low,low,266.2,1.65,2,4,18,1,0,-2.94,0.533,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0029,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccccn1,T4_RELAXED,91.848,0.417,93.118,0.4179,,295,low,low,283.2,3.35,1,3,20,2,0,-4.99,0.476,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0113,O=C(O)c1cccc(-c2ccncc2)c1OC(F)(F)F,T4_RELAXED,92.391,0.313,94.112,0.3139,,250,medium,low,283.2,3.35,1,3,20,2,0,-4.99,0.533,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM002150_analog_0002,O=C(O)COCc1cccnc1,T4_RELAXED,100.464,0.247,100.355,0.2396,,125,low,medium,167.2,0.68,1,3,12,1,0,-1.78,0.645,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0106,O=C(O)c1cccc(OCCO)c1OC(F)(F)F,T4_RELAXED,102.031,0.333,104.084,0.3364,,3000,high,medium,266.2,1.65,2,4,18,1,0,-2.94,0.538,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0112,CN(C)c1cccc(C(=O)O)c1OC(F)(F)F,T4_RELAXED,103.361,0.3,113.121,0.2841,,885,high,medium,249.2,2.35,1,3,17,1,0,-3.41,0.514,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0114,O=C(O)c1cccc(-c2ccccn2)c1OC(F)(F)F,T4_RELAXED,108.76,0.361,107.791,0.357,,1080,medium,medium,283.2,3.35,1,3,20,2,0,-4.99,0.479,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0021,O=C(O)c1c(OCCO)cccc1OC(F)(F)F,T4_RELAXED,111.857,0.333,111.047,0.3362,,1620,high,low,266.2,1.65,2,4,18,1,0,-2.94,0.487,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0017,Cc1cccc(OC(F)(F)F)c1C(=O)O,T4_RELAXED,117.942,0.226,112.252,0.2255,,540,low,low,220.1,2.59,1,2,15,1,0,-3.45,0.548,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0040,CCOc1ccc(OC(F)(F)F)c(C(=O)O)c1,T4_RELAXED,115.897,0.322,114.918,0.3212,,250,medium,low,250.2,2.68,1,3,17,1,0,-3.56,0.533,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0027,CN(C)c1cccc(OC(F)(F)F)c1C(=O)O,T4_RELAXED,156.752,0.295,121.674,0.3092,,885,high,medium,249.2,2.35,1,3,17,1,0,-3.41,0.5,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0011,CCOc1cccc(OC(F)(F)F)c1C(=O)O,T4_RELAXED,127.077,0.294,130.538,0.2947,,885,high,low,250.2,2.68,1,3,17,1,0,-3.56,0.5,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001580_analog_0001,CN(C)C(=O)c1ccccc1OC(F)(F)F,T4_RELAXED,153.589,0.135,176.93,0.1349,,375,high,medium,233.2,2.29,0,2,16,1,0,-3.33,0.636,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
